Ceremony,Won,Name,Birthdate,Film
47,FALSE,Bob Fosse,"June 23, 1927",Lenny
47,FALSE,John Cassavetes,"December 09, 1929",A Woman under the Influence
48,FALSE,Federico Fellini,"January 20, 1920",Amarcord
48,FALSE,Stanley Kubrick,"July 26, 1928",Barry Lyndon
48,FALSE,Sidney Lumet,"June 25, 1924",Dog Day Afternoon
48,FALSE,Robert Altman,"February 20, 1925",Nashville
48,TRUE,Miloš Forman,"February 18, 1932",One Flew over the Cuckoo's Nest
49,FALSE,Alan J. Pakula,"April 07, 1928",All the President's Men
49,FALSE,Ingmar Bergman,"July 14, 1918",Face to Face
49,FALSE,Sidney Lumet,"June 25, 1924",Network
49,TRUE,John G. Avildsen,"December 21, 1935",Rocky
49,FALSE,Lina Wertmüller,"August 14, 1928",Seven Beauties
50,TRUE,Woody Allen,"December 01, 1935",Annie Hall
50,FALSE,Steven Spielberg,"December 18, 1946",Close Encounters of the Third Kind
50,FALSE,Fred Zinnemann,"April 29, 1907",Julia
50,FALSE,George Lucas,"May 14, 1944",Star Wars
50,FALSE,Herbert Ross,"May 13, 1927",The Turning Point
51,FALSE,Hal Ashby,"September 02, 1929",Coming Home
51,TRUE,Michael Cimino,"February 03, 1939",The Deer Hunter
51,FALSE,Warren Beatty*,"March 30, 1937",Heaven Can Wait
51,FALSE,Buck Henry*,"March 30, 1937",Heaven Can Wait
51,FALSE,Woody Allen,"December 01, 1935",Interiors
51,FALSE,Alan Parker,"February 14, 1944",Midnight Express
52,FALSE,Bob Fosse,"June 23, 1927",All That Jazz
52,FALSE,Francis Ford Coppola,"April 07, 1939",Apocalypse Now
52,FALSE,Peter Yates,"July 24, 1929",Breaking Away
52,TRUE,Robert Benton,"September 29, 1932",Kramer vs. Kramer
52,FALSE,Édouard Molinaro,"May 13, 1928",La Cage aux Folles
53,FALSE,David Lynch,"January 20, 1946",The Elephant Man
53,TRUE,Robert Redford,"August 18, 1936",Ordinary People
53,FALSE,Martin Scorsese,"November 17, 1942",Raging Bull
53,FALSE,Richard Rush,"April 15, 1929",The Stunt Man
53,FALSE,Roman Polanski,"August 18, 1933",Tess
54,FALSE,Louis Malle,"October 30, 1932",Atlantic City
54,FALSE,Hugh Hudson,"August 25, 1936",Chariots of Fire
54,FALSE,Mark Rydell,"March 23, 1929",On Golden Pond
54,FALSE,Steven Spielberg,"December 18, 1946",Raiders of the Lost Ark
54,TRUE,Warren Beatty,"March 30, 1937",Reds
55,FALSE,Wolfgang Petersen,"March 14, 1941",Das Boot
55,FALSE,Steven Spielberg,"December 18, 1946",E.T. The Extra-Terrestrial
55,TRUE,Richard Attenborough,"August 29, 1923",Gandhi
55,FALSE,Sydney Pollack,"July 01, 1934",Tootsie
55,FALSE,Sidney Lumet,"June 25, 1924",The Verdict
56,FALSE,Peter Yates,"July 24, 1929",The Dresser
56,FALSE,Ingmar Bergman,"July 14, 1918",Fanny & Alexander
56,FALSE,Mike Nichols,"November 06, 1931",Silkwood
56,FALSE,Bruce Beresford,"August 16, 1940",Tender Mercies
56,TRUE,James L. Brooks,"May 09, 1940",Terms of Endearment
57,TRUE,Miloš Forman,"February 18, 1932",Amadeus
57,FALSE,Woody Allen,"December 01, 1935",Broadway Danny Rose
57,FALSE,Roland Joffé,"November 17, 1945",The Killing Fields
57,FALSE,David Lean,"March 25, 1908",A Passage to India
57,FALSE,Robert Benton,"September 29, 1932",Places in the Heart
58,FALSE,Héctor Babenco,"February 07, 1946",Kiss of the Spider Woman
58,TRUE,Sydney Pollack,"July 01, 1934",Out of Africa
58,FALSE,John Huston,"August 05, 1906",Prizzi's Honor
58,FALSE,Akira Kurosawa,"March 23, 1910",Ran
58,FALSE,Peter Weir,"August 21, 1944",Witness
59,FALSE,David Lynch,"January 20, 1946",Blue Velvet
59,FALSE,Woody Allen,"December 01, 1935",Hannah and Her Sisters
59,FALSE,Roland Joffé,"November 17, 1945",The Mission
59,TRUE,Oliver Stone,"September 15, 1946",Platoon
59,FALSE,James Ivory,"June 07, 1928",A Room with a View
60,FALSE,Adrian Lyne,"March 04, 1941",Fatal Attraction
60,FALSE,John Boorman,"January 18, 1933",Hope and Glory
60,TRUE,Bernardo Bertolucci,"March 16, 1941",The Last Emperor
60,FALSE,Norman Jewison,"July 21, 1926",Moonstruck
60,FALSE,Lasse Hallström,"June 02, 1946",My Life as a Dog
61,FALSE,Charles Crichton,"August 06, 1910",A Fish Called Wanda
61,FALSE,Martin Scorsese,"November 17, 1942",The Last Temptation of Christ
61,FALSE,Alan Parker,"February 14, 1944",Mississippi Burning
61,TRUE,Barry Levinson,"April 06, 1942",Rain Man
61,FALSE,Mike Nichols,"November 06, 1931",Working Girl
62,TRUE,Oliver Stone,"September 15, 1946",Born on the Fourth of July
62,FALSE,Woody Allen,"December 01, 1935",Crimes and Misdemeanors
62,FALSE,Peter Weir,"August 21, 1944",Dead Poets Society
62,FALSE,Kenneth Branagh,"December 10, 1960",Henry V
62,FALSE,Jim Sheridan,"February 06, 1949",My Left Foot
63,TRUE,Kevin Costner,"January 18, 1955",Dances With Wolves
63,FALSE,Francis Ford Coppola,"April 07, 1939","The Godfather, Part III"
63,FALSE,Martin Scorsese,"November 17, 1942",Good Fellas
63,FALSE,Stephen Frears,"June 20, 1941",The Grifters
63,FALSE,Barbet Schroeder,"August 26, 1941",Reversal of Fortune
64,FALSE,John Singleton,"January 06, 1968",Boyz N the Hood
64,FALSE,Barry Levinson,"April 06, 1942",Bugsy
64,FALSE,Oliver Stone,"September 15, 1946",JFK
64,TRUE,Jonathan Demme,"February 22, 1944",The Silence of the Lambs
64,FALSE,Ridley Scott,"November 30, 1937",Thelma & Louise
65,FALSE,Neil Jordan,"February 25, 1950",The Crying Game
65,FALSE,James Ivory,"June 07, 1928",Howards End
65,FALSE,Robert Altman,"February 20, 1925",The Player
65,FALSE,Martin Brest,"August 08, 1951",Scent of a Woman
65,TRUE,Clint Eastwood,"May 31, 1930",Unforgiven
66,FALSE,Jim Sheridan,"February 06, 1949",In the Name of the Father
66,FALSE,Jane Campion,"April 30, 1954",The Piano
66,FALSE,James Ivory,"June 07, 1928",The Remains of the Day
66,TRUE,Steven Spielberg,"December 18, 1946",Schindler's List
66,FALSE,Robert Altman,"February 20, 1925",Short Cuts
67,FALSE,Woody Allen,"December 01, 1935",Bullets over Broadway
67,TRUE,Robert Zemeckis,"May 14, 1952",Forrest Gump
67,FALSE,Quentin Tarantino,"March 27, 1963",Pulp Fiction
67,FALSE,Robert Redford,"August 18, 1936",Quiz Show
67,FALSE,Krzysztof Kieślowski,"June 27, 1941",Red
68,FALSE,Chris Noonan,"November 14, 1952",Babe
68,TRUE,Mel Gibson,"January 03, 1956",Braveheart
68,FALSE,Tim Robbins,"October 16, 1958",Dead Man Walking
68,FALSE,Mike Figgis,"February 28, 1948",Leaving Las Vegas
68,FALSE,Michael Radford,"February 24, 1946",The Postman (Il Postino)
69,TRUE,Anthony Minghella,"January 06, 1954",The English Patient
69,FALSE,Joel Coen,"November 29, 1954",Fargo
69,FALSE,Miloš Forman,"February 18, 1932",The People vs. Larry Flynt
69,FALSE,Mike Leigh,"February 20, 1943",Secrets & Lies
69,FALSE,Scott Hicks,"March 04, 1953",Shine
70,FALSE,Peter Cattaneo,"July 01, 1964",The Full Monty
70,FALSE,Gus Van Sant,"July 24, 1952",Good Will Hunting
70,FALSE,Curtis Hanson,"March 24, 1945",L.A. Confidential
70,FALSE,Atom Egoyan,"July 19, 1960",The Sweet Hereafter
70,TRUE,James Cameron,"August 16, 1954",Titanic
71,FALSE,Roberto Benigni,"October 27, 1952",Life Is Beautiful
71,TRUE,Steven Spielberg,"December 18, 1946",Saving Private Ryan
71,FALSE,John Madden,"April 08, 1949",Shakespeare in Love
71,FALSE,Terrence Malick,"November 30, 1943",The Thin Red Line
71,FALSE,Peter Weir,"August 21, 1944",The Truman Show
72,TRUE,Sam Mendes,"August 01, 1965",American Beauty
72,FALSE,Spike Jonze,"October 22, 1969",Being John Malkovich
72,FALSE,Lasse Hallström,"June 02, 1946",The Cider House Rules
72,FALSE,Michael Mann,"February 05, 1943",The Insider
72,FALSE,M. Night Shyamalan,"August 06, 1970",The Sixth Sense
73,FALSE,Stephen Daldry,"May 02, 1960",Billy Elliot
73,FALSE,Ang Lee,"October 23, 1954","Crouching Tiger, Hidden Dragon"
73,FALSE,Steven Soderbergh,"January 14, 1963",Erin Brockovich
73,FALSE,Ridley Scott,"November 30, 1937",Gladiator
73,TRUE,Steven Soderbergh,"January 14, 1963",Traffic
74,TRUE,Ron Howard,"March 01, 1954",A Beautiful Mind
74,FALSE,Ridley Scott,"November 30, 1937",Black Hawk Down
74,FALSE,Robert Altman,"February 20, 1925",Gosford Park
74,FALSE,Peter Jackson,"October 31, 1961",The Lord of the Rings: The Fellowship of the Ring
74,FALSE,David Lynch,"January 20, 1946",Mulholland Drive
75,FALSE,Rob Marshall,"October 17, 1960",Chicago
75,FALSE,Martin Scorsese,"November 17, 1942",Gangs of New York
75,FALSE,Stephen Daldry,"May 02, 1960",The Hours
75,TRUE,Roman Polanski,"August 18, 1933",The Pianist
75,FALSE,Pedro Almodóvar,"September 25, 1949",Talk to Her
76,FALSE,Fernando Meirelles,"November 09, 1955",City of God
76,TRUE,Peter Jackson,"October 31, 1961",The Lord of the Rings: The Return of the King
76,FALSE,Sofia Coppola,"May 14, 1971",Lost in Translation
76,FALSE,Peter Weir,"August 21, 1944",Master and Commander: The Far Side of the World
76,FALSE,Clint Eastwood,"May 31, 1930",Mystic River
77,FALSE,Martin Scorsese,"November 17, 1942",The Aviator
77,TRUE,Clint Eastwood,"May 31, 1930",Million Dollar Baby
77,FALSE,Taylor Hackford,"December 31, 1944",Ray
77,FALSE,Alexander Payne,"February 10, 1961",Sideways
77,FALSE,Mike Leigh,"February 20, 1943",Vera Drake
78,TRUE,Ang Lee,"October 23, 1954",Brokeback Mountain
78,FALSE,Bennett Miller,"December 30, 1966",Capote
78,FALSE,Paul Haggis,"March 10, 1953",Crash
78,FALSE,George Clooney,"May 06, 1961","Good Night, and Good Luck."
78,FALSE,Steven Spielberg,"December 18, 1946",Munich
79,FALSE,Alejandro G. Iñárritu,"August 15, 1963",Babel
79,TRUE,Martin Scorsese,"November 17, 1942",The Departed
79,FALSE,Clint Eastwood,"May 31, 1930",Letters from Iwo Jima
79,FALSE,Stephen Frears,"June 20, 1941",The Queen
79,FALSE,Paul Greengrass,"August 13, 1955",United 93
80,FALSE,Julian Schnabel,"October 26, 1951",The Diving Bell and the Butterfly
80,FALSE,Jason Reitman,"October 19, 1977",Juno
80,FALSE,Tony Gilroy,"September 11, 1956",Michael Clayton
80,TRUE,Joel Coen*,"November 29, 1954",No Country for Old Men
80,TRUE,Ethan Coen*,"September 21, 1957",No Country for Old Men
80,FALSE,Paul Thomas Anderson,"June 26, 1970",There Will Be Blood
81,FALSE,David Fincher,"August 28, 1962",The Curious Case of Benjamin Button
81,FALSE,Ron Howard,"March 01, 1954",Frost/Nixon
81,FALSE,Gus Van Sant,"July 24, 1952",Milk
81,FALSE,Stephen Daldry,"May 02, 1960",The Reader
81,TRUE,Danny Boyle,"October 20, 1956",Slumdog Millionaire
82,FALSE,James Cameron,"August 16, 1954",Avatar
82,TRUE,Kathryn Bigelow,"November 27, 1951",The Hurt Locker
82,FALSE,Quentin Tarantino,"March 27, 1963",Inglourious Basterds
82,FALSE,Lee Daniels,"December 24, 1959",Precious: Based on the Novel 'Push' by Sapphire
82,FALSE,Jason Reitman,"October 19, 1977",Up in the Air
83,FALSE,Darren Aronofsky,"February 12, 1969",Black Swan
83,FALSE,David O. Russell,"August 20, 1958",The Fighter
83,TRUE,Tom Hooper,"October 05, 1972",The King's Speech
83,FALSE,David Fincher,"August 28, 1962",The Social Network
83,FALSE,Joel Coen*,"November 29, 1954",True Grit
83,FALSE,Ethan Coen*,"September 21, 1957",True Grit
84,TRUE,Michel Hazanavicius,"March 29, 1967",The Artist
84,FALSE,Alexander Payne,"February 10, 1961",The Descendants
84,FALSE,Martin Scorsese,"November 17, 1942",Hugo
84,FALSE,Woody Allen,"December 01, 1935",Midnight in Paris
84,FALSE,Terrence Malick,"November 30, 1943",The Tree of Life
85,FALSE,Michael Haneke,"March 23, 1942",Amour
85,FALSE,Benh Zeitlin,"October 14, 1982",Beasts of the Southern Wild
85,TRUE,Ang Lee,"October 23, 1954",Life of Pi
85,FALSE,Steven Spielberg,"December 18, 1946",Lincoln
85,FALSE,David O. Russell,"August 20, 1958",Silver Linings Playbook
86,FALSE,David O. Russell,"August 20, 1958",American Hustle
86,TRUE,Alfonso Cuarón,"November 28, 1961",Gravity
86,FALSE,Alexander Payne,"February 10, 1961",Nebraska
86,FALSE,Steve McQueen,"October 09, 1969",12 Years a Slave
86,FALSE,Martin Scorsese,"November 17, 1942",The Wolf of Wall Street
87,TRUE,Alejandro G. Iñárritu,"August 15, 1963",Birdman or (The Unexpected Virtue of Ignorance)
87,FALSE,Richard Linklater,"July 30, 1960",Boyhood
87,FALSE,Bennett Miller,"December 30, 1966",Foxcatcher
87,FALSE,Wes Anderson,"May 01, 1969",The Grand Budapest Hotel
87,FALSE,Morten Tyldum,"May 19, 1967",The Imitation Game
88,FALSE,Adam McKay,"April 17, 1968",The Big Short
88,FALSE,George Miller,"March 03, 1945",Mad Max: Fury Road
88,TRUE,Alejandro G. Iñárritu,"August 15, 1963",The Revenant
88,FALSE,Lenny Abrahamson,"November 30, 1966",Room
88,FALSE,Tom McCarthy,"June 07, 1966",Spotlight
89,FALSE,Denis Villeneuve,"October 03, 1967",Arrival
89,FALSE,Mel Gibson,"January 03, 1956",Hacksaw Ridge
89,TRUE,Damien Chazelle,"January 19, 1985",La La Land
89,FALSE,Kenneth Lonergan,"October 16, 1962",Manchester by the Sea
89,FALSE,Barry Jenkins,"November 19, 1979",Moonlight
90,FALSE,Christopher Nolan,"July 30, 1970",Dunkirk
90,FALSE,Jordan Peele,"February 21, 1979",Get Out
90,FALSE,Greta Gerwig,"August 04, 1983",Lady Bird
90,FALSE,Paul Thomas Anderson,"June 26, 1970",Phantom Thread
90,TRUE,Guillermo del Toro,"October 09, 1964",The Shape of Water
91,FALSE,Spike Lee,"March 20, 1957",BlacKkKlansman
91,FALSE,Pawel Pawlikowski,"September 15, 1957",Cold War
91,FALSE,Yorgos Lanthimos,"September 23, 1973",The Favourite
91,TRUE,Alfonso Cuarón,"November 28, 1961",Roma
91,FALSE,Adam McKay,"April 17, 1968",Vice
92,FALSE,Martin Scorsese,"November 17, 1942",The Irishman
92,FALSE,Todd Phillips,"December 20, 1970",Joker
92,FALSE,Sam Mendes,"August 01, 1965",1917
92,FALSE,Quentin Tarantino,"March 27, 1963",Once Upon a Time in Hollywood
92,TRUE,Bong Joon-ho,"September 14, 1969",Parasite
