rank,Title,Total Boxoffice,year
1,Avatar,"$2,847,246,203 ",2009
2,Avengers: Endgame,"$2,797,501,328 ",2019
3,Titanic,"$2,201,647,264 ",1997
4,Star Wars: Episode VII - The Force Awakens,"$2,068,455,677 ",2015
5,Avengers: Infinity War,"$2,048,359,754 ",2018
6,Jurassic World,"$1,670,516,444 ",2015
7,The Lion King,"$1,657,870,986 ",2019
8,The Avengers,"$1,518,815,515 ",2012
9,Furious 7,"$1,515,255,622 ",2015
10,Frozen II,"$1,450,026,933 ",2019
11,Avengers: Age of Ultron,"$1,402,809,540 ",2015
12,Black Panther,"$1,347,597,973 ",2018
13,Harry Potter and the Deathly Hallows: Part 2,"$1,342,321,665 ",2011
14,Star Wars: Episode VIII - The Last Jedi,"$1,332,698,830 ",2017
15,Jurassic World: Fallen Kingdom,"$1,310,464,680 ",2018
16,Frozen,"$1,281,835,246 ",2013
17,Beauty and the Beast,"$1,264,434,525 ",2017
18,Incredibles 2,"$1,243,089,244 ",2018
19,The Fate of the Furious,"$1,236,005,118 ",2017
20,Iron Man 3,"$1,214,811,252 ",2013
21,Minions,"$1,159,444,662 ",2015
22,Captain America: Civil War,"$1,153,337,496 ",2016
23,Aquaman,"$1,148,485,886 ",2018
24,The Lord of the Rings: The Return of the King,"$1,142,623,460 ",2003
25,Spider-Man: Far from Home,"$1,131,927,996 ",2019
26,Captain Marvel,"$1,128,462,972 ",2019
27,Transformers: Dark of the Moon,"$1,123,794,079 ",2011